Date,Milk_Collection_L,Fat_Percent,Protein_Percent,Lactose_Percent,Somatic_Cell_Count,Transport_Distance_km,Transport_Cost_EUR,Processing_Capacity_L,Storage_Capacity_L,Market_Demand_L,Market_Price_EUR_per_L,Electricity_Cost_EUR,Product_Type,Yield_kg,Profit_EUR
2026-10-01,125000,4.25,3.48,4.82,180000,42,840,130000,80000,118000,0.64,1350,Cheese,14150,19280
2026-10-02,128500,4.18,3.42,4.80,175000,38,760,130000,80000,121000,0.66,1375,Butter,6650,18540
2026-10-03,121000,4.36,3.55,4.83,162000,45,900,130000,80000,116500,0.63,1335,Milk Powder,11840,20110
2026-10-04,132200,4.41,3.60,4.84,158000,39,780,135000,82000,126000,0.67,1390,Cheese,15030,21420
2026-10-05,127300,4.29,3.51,4.81,169000,43,860,132000,81000,122500,0.65,1362,Butter,6740,19110
2026-10-06,130700,4.38,3.57,4.85,155000,41,820,133000,81500,124800,0.68,1408,Cheese,14910,22350
2026-10-07,123800,4.22,3.46,4.79,182000,44,880,131000,80500,119400,0.64,1342,Milk Powder,12020,19460
2026-10-08,129600,4.35,3.54,4.82,166000,37,740,134000,82000,123900,0.66,1384,Butter,6810,19870
2026-10-09,131800,4.44,3.61,4.86,151000,40,800,135000,82500,127300,0.69,1415,Cheese,15240,22910
2026-10-10,126400,4.27,3.49,4.80,171000,42,840,132500,81000,121600,0.65,1368,Milk Powder,12180,19630
