feature,point_estimate,boot_mean,ci_low_5%,ci_high_95%,significant_at_90%
num__milk_quality_index,561.6191069066606,506.04418644242554,294.3653598800383,657.6351038746993,True
num__Market_Price_EUR_per_L,443.6683167237595,383.66518156690506,72.13531236615596,509.5811364522679,True
cat__Product_Type_Butter,-397.0647147953667,-309.09988371768304,-452.6586007335516,-85.56548488052314,True
cat__Product_Type_Cheese,372.3323857239162,297.31298839934277,113.95659939297613,391.064799930848,True
num__electricity_cost_per_L,191.3902362946391,155.24202637093586,-126.90029033531059,317.3779998500668,False
num__Milk_Collection_L,182.6363134440053,170.9547134793798,77.898929005463,232.30127972829126,True
num__demand_gap,182.57016091001123,160.7195344931968,-22.876521835010756,328.14183319130916,False
num__storage_utilization,53.13700357830979,69.27842302380644,-19.417811379712482,177.21861270633696,False
num__transport_cost_per_L,47.92796000257704,34.9152569834828,-135.6046841366265,209.57746344581028,False
cat__Product_Type_Milk Powder,24.732329071450458,11.786895318339798,-125.78568834384828,143.37768477255995,False
num__capacity_utilization,21.40299815124402,39.17376787037152,-145.64033566340683,204.85539490237608,False
