Date,Actual_Product,Actual_Profit_EUR,LP_Total_Predicted_Profit_EUR,LP_Milk_Unallocated_L,LP_Cheese_L,LP_Butter_L,LP_Milk_Powder_L,LP_Uplift_vs_Actual_EUR
2026-10-01,Cheese,19280,13034.56,45000.0,47200.0,0.0,32800.0,-6245.4400000000005
2026-10-02,Butter,18540,13041.41,48500.0,48400.0,0.0,31600.0,-5498.59
2026-10-03,Milk Powder,20110,13031.13,41000.0,46600.0,0.0,33400.0,-7078.870000000001
2026-10-04,Cheese,21420,13371.96,50200.0,50400.0,0.0,31600.0,-8048.040000000001
2026-10-05,Butter,19110,13204.4,46300.0,49000.0,0.0,32000.0,-5905.6
2026-10-06,Cheese,22350,13289.44,49200.0,49920.0,0.0,31580.0,-9060.56
2026-10-07,Milk Powder,19460,13117.54,43300.0,47760.0,0.0,32740.0,-6342.459999999999
2026-10-08,Butter,19870,13367.16,47600.0,49560.0,0.0,32440.0,-6502.84
2026-10-09,Cheese,22910,13454.71,49300.0,50920.0,0.0,31580.0,-9455.29
2026-10-10,Milk Powder,19630,13202.34,45400.0,48640.0,0.0,32360.0,-6427.66
